,train_return,test_return,sum
408,58.116420000000005,91.91345,1.004
946,57.98772000000001,90.59083999999999,1.004
376,57.26473,90.31688000000001,1.004
810,57.03339,89.63183,1.004
370,57.81134999999999,89.57332,1.004
320,58.129509999999996,89.15216,1.004
565,56.59253999999999,88.78125,1.004
776,58.32349,88.7427,1.004
527,57.9093,88.3821,1.0040000000000002
909,56.87768,88.24286999999998,1.004
982,57.41888,88.12012999999999,1.004
286,58.58206,88.04302,1.004
948,56.39276,87.80516,1.004
405,57.18034,87.52233999999999,1.004
26,57.27336999999999,87.3757,1.004
18,56.488150000000005,87.37467,1.004
529,56.574200000000005,87.09615,1.004
102,57.319990000000004,86.87196,1.004
73,55.92454000000001,86.69185999999999,1.004
278,57.02338,86.50574,1.004
613,55.82449,86.31663,1.004
640,56.83415,86.21296000000001,1.004
424,56.61065000000001,86.15983,1.004
71,55.34811,85.88847,1.004
169,55.43374,85.76035000000002,1.004
2,56.00699,85.65725,1.004
252,55.91020999999999,85.5496,1.004
199,55.5015,85.29301,1.004
749,55.415040000000005,85.15767999999998,1.004
644,56.13808,85.01149,1.004
655,56.4835,84.99529,1.004
20,55.588589999999996,84.9369,1.004
80,55.9467,84.75601,1.004
896,55.645250000000004,84.63640000000001,1.004
760,55.46786,84.11040999999999,1.0040000000000002
767,54.83961000000001,83.97201,1.004
234,54.07433,83.35311999999999,1.004
334,54.08947,83.31030000000001,1.004
373,55.669560000000004,82.81528,1.0040000000000002
208,55.21573,82.60939,1.004
174,55.51634,82.58972,1.0040000000000002
683,52.102459999999994,79.68111,1.004
474,52.452839999999995,78.34962999999999,1.004
837,52.27006,78.34421999999999,1.004
574,52.43187,78.24568,1.004
449,51.142450000000004,78.10567,1.004
152,51.279790000000006,77.84135,1.004
33,50.11953,76.7005,1.004
646,51.814170000000004,76.65144000000001,1.004
318,50.25829,76.5206,1.004
827,50.850559999999994,76.34020000000001,1.004
467,50.42164,75.62574000000001,1.004
182,50.157830000000004,75.6198,1.004
263,51.043490000000006,75.53828999999999,1.0040000000000002
606,52.18893,75.52082,1.004
631,51.45392,75.18614,1.004
514,50.48433,75.14604,1.004
346,50.15801999999999,75.04946,1.004
34,50.66402000000001,74.94329,1.004
485,51.701319999999996,74.86127,1.004
443,50.380300000000005,74.79139,1.004
943,50.2604,74.75714,1.004
151,51.08604,74.67555000000002,1.004
653,51.25744999999999,74.67111,1.004
292,50.08696,74.58635000000001,1.0040000000000002
392,50.30502,74.54884999999999,1.004
288,49.72049,74.38139000000001,1.004
307,50.6349,74.27121,1.004
530,49.582899999999995,74.19067,1.004
875,49.36274,73.90956,1.004
271,49.67125,73.82908,1.004
457,50.832629999999995,73.76257000000001,1.004
141,50.97302,73.42981,1.004
924,49.95701,73.4298,1.004
577,50.22132,73.42163000000001,1.004
559,50.72851,73.36577,1.004
396,48.7009,73.35316,1.004
670,51.488119999999995,73.26461,1.004
784,50.41788,73.24947,1.004
356,49.56023,73.10873000000001,1.004
374,48.64819,73.01677000000001,1.004
215,48.69385,72.80285,1.004
109,50.45055,72.66787,1.004
462,50.00499,72.5522,1.004
231,51.21388999999999,72.41295,1.004
121,49.22181,72.20154,1.004
402,50.20178,72.16064,1.0040000000000002
140,49.329139999999995,71.95639,1.004
563,50.10352,71.92872,1.004
947,48.30561,71.90205,1.004
966,49.24455,71.89853,1.004
679,47.88223,71.79189,1.004
957,51.02436,71.55339000000001,1.004
695,50.76979,71.26592000000001,1.004
968,48.81036999999999,70.81272,1.004
446,46.75108,70.52014,1.004
104,50.24396,70.1862,1.004
379,49.78439999999999,70.18360000000001,1.004
593,47.78034,69.97306,1.004
181,47.77271,69.48972,1.004
213,47.523579999999995,69.38943,1.004
500,47.236329999999995,69.25375,1.004
971,47.124289999999995,69.141,1.004
707,46.77117,69.01732999999999,1.004
175,47.24938999999999,68.88835,1.004
58,46.69842,68.87178,1.004
304,48.131780000000006,68.78071,1.0040000000000002
911,46.8729,68.60553999999999,1.004
245,47.637739999999994,68.50067,1.004
348,48.0195,68.40792,1.004
726,47.41666000000001,68.38714,1.004
919,47.72368,67.9619,1.004
739,48.06039,67.75371,1.004
205,47.12873999999999,67.75072,1.004
549,46.7455,67.70840000000001,1.004
40,48.19302999999999,67.50396,1.004
509,46.294219999999996,67.43611999999999,1.004
448,47.258649999999996,67.42354,1.004
737,47.40635,67.39787999999999,1.004
560,48.84106,67.31538,1.004
389,47.763850000000005,66.86315,1.004
313,47.15379,66.59808999999998,1.004
998,47.998509999999996,66.52786,1.004
611,46.41449,66.39809,1.004
892,46.76997,66.37726,1.004
754,47.88022,66.32746,1.004
281,46.273109999999996,66.29523,1.004
941,45.58178,66.02360999999999,1.004
179,46.00304,65.81297,1.0040000000000002
706,47.20303,65.80716,1.004
594,47.57483,65.78623,1.004
651,46.08906,65.72144999999999,1.004
54,46.571299999999994,65.62038000000001,1.004
17,46.254760000000005,65.60114,1.004
789,46.15074,65.59953,1.0040000000000002
341,45.24526,65.03184,1.004
489,43.78933000000001,64.97488,1.004
903,46.047920000000005,64.93414,1.004
824,47.69656,64.87646,1.004
432,44.900670000000005,64.85623,1.004
871,45.15874,64.82677,1.004
681,44.71510000000001,64.80359,1.004
62,45.084010000000006,64.78627999999999,1.004
977,46.51589,64.76309,1.004
852,45.08126,64.73864,1.004
269,46.92692,64.7141,1.004
796,46.307339999999996,64.64224,1.004
326,44.199,64.4256,1.004
226,43.85845,64.40104,1.004
632,46.87495,64.31047000000001,1.004
783,45.97507,64.28843,1.004
780,43.71046,64.27935,1.004
599,44.7342,64.14198,1.004
836,43.66575,64.04060999999999,1.004
888,44.3198,64.02549,1.004
618,43.68187,63.97654,1.004
191,46.06516,63.91962,1.004
778,44.256330000000005,63.90015,1.004
16,46.96033,63.880469999999995,1.004
724,44.46479,63.85276,1.004
165,45.54614,63.767309999999995,1.004
543,45.13348,63.767250000000004,1.004
862,43.89213,63.760629999999985,1.004
308,43.60265,63.73046000000001,1.0040000000000002
583,44.22056,63.717020000000005,1.004
741,45.626439999999995,63.71347999999999,1.004
51,45.63082,63.67281,1.0040000000000002
94,43.8506,63.60673,1.004
440,46.66906,63.57999,1.004
81,43.66969999999999,63.54989,1.004
987,45.39336,63.48589999999999,1.004
656,46.88878,63.318529999999996,1.004
284,45.88374,63.282849999999996,1.004
542,46.85521,63.26676,1.004
897,44.822419999999994,63.226620000000004,1.004
112,43.65372000000001,63.216710000000006,1.004
382,47.07162,63.15386999999999,1.004
120,44.13226,63.079390000000004,1.004
386,46.04692,63.06390999999999,1.004
69,44.73068,63.05613,1.004
331,44.108940000000004,62.96138,1.004
604,45.01595,62.78576999999999,1.004
621,46.2795,62.77825,1.004
264,45.572649999999996,62.61657,1.004
101,46.32186000000001,62.579139999999995,1.004
833,43.401340000000005,62.45558000000001,1.0040000000000002
719,44.08133,62.31161,1.004
422,45.25555000000001,62.27356999999999,1.0040000000000002
878,44.78265,62.26623000000001,1.004
868,45.96915,62.17928,1.004
872,43.81584,62.17736,1.004
31,44.11362,62.16823,1.004
3,43.59007,62.15393999999999,1.004
282,44.42746,62.153099999999995,1.004
864,45.23363,62.06858,1.004
885,43.328480000000006,61.99167,1.0040000000000002
597,44.42532,61.953559999999996,1.004
652,45.867630000000005,61.94166,1.004
306,44.02042,61.928,1.0040000000000002
550,43.275949999999995,61.89865999999999,1.004
445,45.48074,61.87135000000001,1.004
973,45.61225,61.866389999999996,1.004
645,43.98449,61.81791,1.004
876,43.89533,61.734140000000004,1.004
582,46.24178,61.64673,1.004
367,43.294790000000006,61.61340999999999,1.004
144,46.10248,61.6031,1.004
907,43.84649,61.56331,1.004
41,44.71141,61.55063,1.004
686,44.30874,61.547349999999994,1.004
115,46.9851,61.536370000000005,1.004
865,43.58925,61.36044,1.004
711,44.44588,61.32290999999999,1.004
439,46.23729,61.26688,1.004
236,44.9448,61.15046,1.004
143,44.55834,61.10394000000001,1.004
239,43.32373,61.07867999999999,1.004
384,44.0754,61.06251,1.004
339,44.99370999999999,61.0324,1.004
113,43.64707,61.01201999999999,1.004
671,43.37758,61.00555,1.004
107,43.768550000000005,60.92411,1.004
117,45.468250000000005,60.87241,1.004
493,42.419200000000004,60.86825,1.004
242,44.83237,60.849180000000004,1.004
519,45.34059,60.84487,1.004
406,44.32804,60.841570000000004,1.004
427,44.070660000000004,60.83888999999999,1.004
303,44.286590000000004,60.803850000000004,1.004
813,44.88055,60.74684,1.004
272,43.56181,60.68012999999999,1.004
56,43.32994,60.67743,1.004
249,45.45276,60.67297,1.004
904,42.969449999999995,60.647909999999996,1.004
736,44.18108,60.627359999999996,1.004
596,43.986239999999995,60.6251,1.004
700,43.44042,60.58539999999999,1.004
8,43.14545,60.44795,1.004
526,45.33471,60.42675,1.004
156,44.69305,60.37846999999999,1.004
569,43.46958000000001,60.373009999999994,1.004
867,44.98219999999999,60.341899999999995,1.004
658,43.30173,60.25685999999999,1.004
765,46.09488,60.23547000000001,1.004
674,45.87544,60.22914,1.004
592,44.080799999999996,60.22440000000001,1.004
99,42.714650000000006,60.19863,1.004
203,45.05865,60.18769,1.004
436,42.86662,60.10079,1.004
338,43.126039999999996,60.09211,1.004
502,43.538560000000004,59.94296999999999,1.004
738,43.416669999999996,59.88925,1.004
520,43.96020000000001,59.82675,1.004
13,42.66898,59.805719999999994,1.004
734,44.55115,59.768840000000004,1.004
118,44.571299999999994,59.75456,1.004
93,42.79736,59.750069999999994,1.004
759,44.05344,59.69335,1.0040000000000002
119,43.86937999999999,59.672929999999994,1.004
108,45.08366,59.62416,1.004
625,42.40354,59.62282,1.004
377,44.582989999999995,59.61788,1.004
588,45.99439,59.491690000000006,1.004
855,42.44306,59.45465,1.004
364,43.57222,59.419070000000005,1.004
748,44.892950000000006,59.365649999999995,1.004
552,44.62379,59.34003,1.004
195,43.37077,59.31130999999999,1.004
635,43.25056000000001,59.237610000000004,1.004
601,41.56473,59.235299999999995,1.004
581,45.097120000000004,59.23210999999999,1.004
808,42.8364,59.201429999999995,1.004
359,44.00944,59.19733,1.004
801,42.576260000000005,59.18803,1.004
960,42.52283,59.159139999999994,1.004
197,42.05876,59.10446999999999,1.004
77,43.8634,59.0631,1.004
627,43.63589,59.0113,1.004
61,43.5846,58.97142,1.004
257,43.31931,58.962920000000004,1.004
790,42.0106,58.93195,1.004
685,43.49444,58.910830000000004,1.004
715,42.3198,58.886289999999995,1.004
142,42.8181,58.826449999999994,1.004
615,42.573479999999996,58.80224,1.004
690,42.44533,58.77347999999999,1.004
553,43.40537,58.7129,1.004
475,42.44166,58.70924000000001,1.004
44,44.007070000000006,58.701719999999995,1.004
753,44.67987,58.69731999999999,1.004
431,43.295950000000005,58.69135,1.0040000000000002
735,42.76935,58.68566,1.004
447,41.88539,58.684239999999996,1.004
221,44.62445000000001,58.67311999999999,1.004
100,42.83931,58.65409999999999,1.004
815,44.73173,58.650040000000004,1.004
229,41.78839,58.61922,1.0040000000000002
693,41.43133,58.61389999999999,1.004
962,41.57237,58.53765,1.004
27,43.82783,58.48477,1.004
154,43.546200000000006,58.45940999999999,1.004
834,44.32207,58.45823,1.004
662,42.575140000000005,58.42885,1.0040000000000002
556,42.815439999999995,58.408919999999995,1.004
551,41.379329999999996,58.407439999999994,1.004
817,44.45203,58.38436,1.004
204,42.37784,58.36275,1.004
79,44.65231,58.321799999999996,1.004
425,42.735110000000006,58.26608,1.004
168,40.861320000000006,58.26135,1.004
161,44.34803,58.24837,1.004
15,43.10035,58.17687,1.004
898,42.03116,58.156279999999995,1.004
375,44.2077,58.15255,1.004
230,43.75205,58.100750000000005,1.004
794,43.306070000000005,58.0865,1.004
697,43.8866,58.086209999999994,1.004
482,43.96944,58.08041,1.004
1,43.24117,58.074839999999995,1.004
333,42.31903,57.99467,1.004
401,41.215720000000005,57.977869999999996,1.004
53,42.74859000000001,57.95575,1.004
450,41.91196000000001,57.953469999999996,1.004
727,44.05935,57.912130000000005,1.004
232,42.9974,57.90857999999999,1.004
798,42.218560000000004,57.76109999999999,1.0040000000000002
501,43.27308,57.75636999999999,1.004
340,41.898610000000005,57.687560000000005,1.004
273,44.90394,57.65585,1.004
598,41.562070000000006,57.601929999999996,1.004
692,41.57057,57.514089999999996,1.004
189,42.42361,57.483439999999995,1.004
200,43.14598,57.47719000000001,1.004
299,42.94709,57.46503,1.004
622,43.89163,57.42855999999999,1.004
211,43.24238,57.42746999999999,1.004
328,41.7137,57.41424,1.004
183,42.51229000000001,57.39837,1.004
419,42.36028,57.33688,1.004
332,41.31823,57.33551,1.004
150,42.261630000000004,57.32065,1.004
266,42.208040000000004,57.27476,1.004
830,43.17846,57.246249999999996,1.004
430,41.92765,57.233869999999996,1.004
874,42.37695,57.21227999999999,1.004
729,43.92002000000001,57.16786999999999,1.004
850,41.99683,57.14995999999999,1.004
934,43.180980000000005,57.119159999999994,1.0040000000000002
826,43.09308,57.114090000000004,1.004
184,41.71037,56.975829999999995,1.004
290,42.66613,56.9666,1.004
728,41.85858,56.95098,1.004
819,41.39452,56.93165,1.004
218,41.712379999999996,56.8953,1.004
68,42.21898,56.88378,1.004
766,41.62989,56.86662,1.004
261,41.68862,56.832919999999994,1.004
633,44.233670000000004,56.82233,1.004
484,42.30289,56.82034999999999,1.004
414,41.826499999999996,56.81333000000001,1.004
623,42.40639,56.79933,1.004
708,42.28121,56.79109999999999,1.004
131,41.027060000000006,56.77777999999999,1.004
614,42.66747,56.75623,1.004
66,43.18462,56.74745,1.004
285,44.13942,56.74552999999999,1.004
416,42.32463,56.74125,1.004
920,41.980309999999996,56.72628,1.004
732,43.56149,56.7255,1.004
536,42.70569999999999,56.70418,1.004
575,42.12464,56.68602,1.004
579,41.690690000000004,56.67163000000001,1.004
202,42.87414,56.66571999999999,1.004
289,43.369910000000004,56.65603,1.004
976,43.173370000000006,56.64465,1.004
578,44.13090000000001,56.618739999999995,1.004
983,43.091750000000005,56.617709999999995,1.004
637,41.8405,56.57598,1.004
29,43.61534,56.54647,1.004
641,41.68652,56.54514999999999,1.004
758,43.50363,56.510769999999994,1.004
624,40.88663,56.483779999999996,1.004
499,41.844629999999995,56.461589999999994,1.004
893,43.13204,56.408500000000004,1.004
209,41.8106,56.40028,1.004
762,43.109390000000005,56.38699,1.004
546,41.78757,56.367450000000005,1.004
134,42.646950000000004,56.33913,1.004
358,41.442400000000006,56.33633,1.004
418,42.33296,56.327749999999995,1.004
327,40.81497,56.31487,1.004
267,43.624159999999996,56.30077,1.004
958,41.162890000000004,56.28349,1.004
717,42.149280000000005,56.2744,1.004
538,40.86633,56.273390000000006,1.004
932,41.53559,56.24571,1.004
839,42.872119999999995,56.22098,1.004
75,40.313379999999995,56.200689999999994,1.004
986,42.51459,56.19083,1.004
709,42.432750000000006,56.17600999999999,1.004
222,40.888980000000004,56.14577,1.004
586,41.331500000000005,56.1447,1.004
985,42.89701,56.12966,1.004
880,42.68533000000001,56.11493,1.004
944,42.83729,56.112489999999994,1.004
544,41.99981,56.08565,1.004
157,41.95743,56.051959999999994,1.004
663,41.30991,56.04131,1.004
398,42.743269999999995,56.03684,1.004
535,41.25281,56.02535999999999,1.004
991,42.03309,56.02133,1.004
988,42.342380000000006,56.000399999999985,1.004
531,41.79180000000001,55.99502,1.004
657,41.49811,55.99485,1.004
90,41.08234,55.980700000000006,1.004
647,42.899060000000006,55.978899999999996,1.004
516,41.72471,55.97655,1.004
933,41.009280000000004,55.97219,1.004
915,41.17089,55.94592,1.004
167,41.45518,55.940960000000004,1.004
123,40.911950000000004,55.922889999999995,1.0040000000000002
360,41.74946,55.894479999999994,1.004
476,41.80799,55.86399,1.004
60,41.14692,55.84411,1.004
155,42.38923,55.80194999999999,1.004
605,42.29906,55.76978,1.004
210,40.69509000000001,55.757979999999996,1.004
955,41.04275,55.750409999999995,1.004
750,42.13771,55.74527,1.004
913,41.80978,55.738299999999995,1.004
840,42.65327,55.7033,1.004
347,41.43567,55.67322999999999,1.004
603,41.03768,55.664770000000004,1.004
466,40.85727,55.62845,1.004
49,43.328,55.62791,1.004
323,42.12517,55.616679999999995,1.004
274,42.77068,55.615390000000005,1.004
525,42.78604,55.588849999999994,1.004
265,41.59028,55.581999999999994,1.004
412,43.71999,55.54211000000001,1.004
185,40.68248,55.53859,1.0040000000000002
901,41.46149,55.53818,1.004
206,40.7215,55.53386,1.004
628,43.52874,55.486869999999996,1.004
388,41.12684,55.47875,1.004
908,42.354969999999994,55.46199,1.004
979,41.594190000000005,55.45475999999999,1.004
740,41.85163,55.444590000000005,1.004
472,43.08022,55.43856,1.004
745,41.65711,55.4328,1.004
952,43.08735,55.428129999999996,1.004
228,42.359899999999996,55.42229,1.004
324,42.099360000000004,55.420289999999994,1.004
769,42.38108,55.38977,1.004
458,41.76568,55.36107,1.004
223,42.4367,55.29030000000001,1.004
747,42.20130999999999,55.28855,1.004
64,44.182339999999996,55.27749,1.004
293,42.47426,55.27222999999999,1.004
870,40.58679000000001,55.25965,1.004
88,41.90038,55.23941,1.004
608,42.27462,55.221180000000004,1.004
889,43.13228,55.21185,1.004
602,40.52954,55.21127,1.004
512,42.123,55.20733,1.0040000000000002
241,42.019189999999995,55.18912,1.004
722,42.940020000000004,55.18689,1.004
325,42.172760000000004,55.18301,1.004
838,43.537079999999996,55.17922999999999,1.004
248,42.3389,55.15875,1.004
890,41.3633,55.15171,1.004
812,43.00474,55.12996,1.0040000000000002
733,42.698049999999995,55.12495,1.004
609,42.77709,55.11183,1.004
970,41.253690000000006,55.1109,1.004
495,40.917699999999996,55.10961999999999,1.004
925,41.83072,55.08051,1.004
786,42.274609999999996,55.05109999999999,1.004
684,42.72562,55.042820000000006,1.004
403,43.70583,55.031439999999996,1.004
665,41.644780000000004,55.00168,1.004
969,40.505430000000004,54.98028,1.004
847,42.02405,54.970130000000005,1.004
842,40.846199999999996,54.96212,1.004
510,39.916340000000005,54.961710000000004,1.004
743,42.839299999999994,54.94958999999999,1.004
566,40.68521,54.944289999999995,1.004
668,41.11371,54.941860000000005,1.004
713,40.617900000000006,54.93212,1.004
612,40.63708,54.910610000000005,1.004
950,41.64537,54.88213999999999,1.004
147,41.63232,54.88128,1.004
887,41.700140000000005,54.87621,1.004
372,40.46209,54.80694,1.004
344,42.736090000000004,54.80376,1.004
280,41.02884,54.80213,1.004
454,41.63236,54.79826,1.004
98,41.72768,54.79378,1.004
87,40.095060000000004,54.787,1.004
